event_date,new,retained,total,app::multi-filter
2017-03-01,1604,4229,5833,AngryBirdsStarWarsFull
2017-03-01,62,557,619,BadPiggiesLight
2017-03-01,225,673,898,Birdkeeper
2017-03-01,316,987,1303,Gold
2017-03-01,1,3,4,abbakunluniosgpchina_1fffd0c2
2017-03-01,40,416,456,AngryBirdsSpaceLight
2017-03-01,956,3042,3998,AngryBirdsFriends
2017-03-01,41,168,209,PurpleChina
2017-03-01,1074,3742,4816,AngryBirdsSpaceFull
2017-03-01,58,554,612,purpleamazonfire_74641a18
2017-03-01,2885,9918,12803,AngryBirdsRioFull
2017-03-01,857,4587,5444,Crimson
2017-03-01,4434,22945,27379,Toonstv
2017-03-01,494,1996,2490,AngryBirdsSeasonsFull
2017-03-01,599,5189,5788,AngryBirdsClassicLight
2017-03-01,127,814,941,Purple
2017-03-01,109,69,178,abactionchina_49cba9cb
2017-03-01,326,2629,2955,ChannelRoku
2017-03-01,168,156,324,abactionchinaandroid_1d7ba513
2017-03-01,21,21,42,tntgame_149fb4d3
2017-03-01,62,726,788,badpiggiesodyssey_38481962
2017-03-01,121,134,255,angrybirdsfortumo_7bf816e1
2017-03-01,666,1759,2425,toonstvmade4samsung_6d2a0fc4
2017-03-01,1373,690,2063,toonstvkidoz_c161558
2017-03-01,,1,1,spilgames_64ada0f8
2017-01-12,204,997,1201,AngryBirdsStarWarsLight
2017-01-12,66,520,586,AngryBirdsSpaceLight
2017-01-12,172,568,740,Birdkeeper
2017-01-12,1336,2803,4139,Yellow
2017-01-12,1856,5976,7832,Crimson
2017-01-12,934,2165,3099,Gold
2017-01-12,364,1035,1399,AngryBirdsClassicTalkweb
2017-01-12,5529,22496,28025,Toonstv
2017-01-12,32,174,206,toonstvappletv_7c3cb333
2017-01-12,1234,4038,5272,BadPiggiesFull
2017-01-12,1886,4311,6197,AngryBirdsStarWarsFull
2017-01-12,2892,5055,7947,AngryBirdsSpaceFull
2017-01-12,4117,320,4437,ChannelWeb
2017-01-12,3745,5373,9118,Abba
2017-01-12,3037,100,3137,rovio_3bb4586d
2017-01-12,146,317,463,popcorn_7901fbf5
2017-01-12,1066,3005,4071,BlueSteel
2017-01-12,1093,3161,4254,AngryBirdsFriends
2017-01-12,137,861,998,Purple
2017-01-12,119,315,434,PurpleChina
2017-01-12,105,601,706,purpleamazonfire_74641a18
2017-01-12,946,309,1255,toonstvkidoz_c161558
2017-01-12,2480,10547,13027,ChannelSmartTv
2017-01-12,14,72,86,ChannelAngryBirdsRoost
2017-01-12,272,247,519,angrybirdsfortumo_7bf816e1
2017-01-12,637,5368,6005,AngryBirdsClassicLight
2017-01-12,1,3,4,abbakunluniosgpchina_1fffd0c2
2017-01-12,655,2156,2811,AngryBirdsSeasonsFull
2017-01-12,60,570,630,BadPiggiesLight
2017-01-12,549,1424,1973,toonstvmade4samsung_6d2a0fc4
2017-01-12,281,2286,2567,ChannelRoku
2017-01-12,4786,11811,16597,AngryBirdsClassic
2017-01-12,105,673,778,badpiggiesodyssey_38481962
2017-01-12,4387,10119,14506,AngryBirdsRioFull
2017-01-12,47,72,119,abactionchina_49cba9cb
2017-01-12,527,287,814,abactionchinaandroid_1d7ba513
2017-01-12,14,12,26,tntgame_149fb4d3
2017-02-22,4282,6193,10475,Abba
2017-02-22,3577,280,3857,ChannelWeb
2017-02-22,1063,5221,6284,Crimson
2017-02-22,49,589,638,BadPiggiesLight
2017-02-22,167,581,748,Birdkeeper
2017-02-22,1212,3006,4218,Yellow
2017-02-22,103,760,863,Purple
2017-02-22,133,167,300,angrybirdsfortumo_7bf816e1
2017-02-22,266,902,1168,AngryBirdsClassicTalkweb
2017-02-22,2867,10371,13238,AngryBirdsRioFull
2017-02-22,7,65,72,ChannelAngryBirdsRoost
2017-02-22,697,2044,2741,Gold
2017-02-22,3319,966,4285,rovio_3bb4586d
2017-02-22,2234,5690,7924,AngryBirdsSpaceFull
2017-02-22,1192,4444,5636,BadPiggiesFull
2017-02-22,521,2079,2600,AngryBirdsSeasonsFull
2017-02-22,61,426,487,AngryBirdsSpaceLight
2017-02-22,,3,3,spilgames_64ada0f8
2017-02-22,446,1617,2063,toonstvmade4samsung_6d2a0fc4
2017-02-22,1760,11025,12785,ChannelSmartTv
2017-02-22,20,15,35,tntgame_149fb4d3
2017-02-22,309,2594,2903,ChannelRoku
2017-02-22,83,668,751,purpleamazonfire_74641a18
2017-02-22,960,3117,4077,AngryBirdsFriends
